id,collection,dc.contributor.author,dc.date.issued,dc.identifier.uri,dc.language.iso[en_US],dc.source.issue[en_US],dc.source.pagenumber[en_US],dc.title[en_US],dc.type[en_US]
"dae07f07-63f5-4786-9a6a-5e6fce92c718","11250/3011260","Abelgaard, Vilde Lykke||Frantzen, Josefine","2024","https://hdl.handle.net/11250/3153155","nob",,"86","Grunnskolelæreres perspektiver og pedagogiske  tilnærminger til utforskende og problemløsende  matematikkundervisning – en kvalitativ studie","Master thesis"
"e7a1439a-da59-4ef7-8a55-39d3a4536c1e","11250/3011260","Solberg, Monica","2022","https://hdl.handle.net/11250/3011874","eng",,"65","Developing intercultural competence through fiction Teachers’ experiences with using fiction as a tool to promote intercultural competence in junior high school","Master thesis"
"e8e1a1b7-0c8f-41de-911e-08d20c79284b","11250/3011260","Jensen, Ola Dahl","2024","https://hdl.handle.net/11250/3153162","nob",,"87","«Elevkommunikasjon i et tenkende klasserom»","Master thesis"
"ebfb20f5-f7ab-46cf-bc43-7f53f758febc","11250/3011260","Berg, Ingrid","2023","https://hdl.handle.net/11250/3085561","ger",,"82","Wie beeinflusst die Verwendung von Deutsch seitens der Lehrkraft die Hörfertigkeiten bei Lernenden der 8. Klasse im norwegischen Deutschunterricht?","Master thesis"
"ecc422f3-7b44-443c-861c-0b7bc7bbd06a","11250/3011260","Braunstein, Dina||Nordbø, Karoline","2024","https://hdl.handle.net/11250/3155118","nob",,"104","Undervisning om talespråklig variasjon, Norge rundt","Master thesis"
"eefb86e1-329f-406b-97ad-138202fbb012","11250/3011260","Eilertsen, Simone Anett Berg","2022","https://hdl.handle.net/11250/3011835","eng",,"73","Asperger’s Syndrome in Picoult’s House Rules: to understand the special challenges for pupils with Asperger´s Syndrome in school.","Master thesis"
"f2f29be2-fffd-4ffd-9e2e-2d4b5716b50e","11250/3011260","Solberg, Marthe","2023","https://hdl.handle.net/11250/3084967","nob",,"77","En studie av læreres litteraturvalg i norskundervisningen","Master thesis"
"f41cc179-760c-457a-a76a-43441114a893","11250/3011260","Eriksen, Mads Petter||Syversen, Martin Aleksander Leine","2023","https://hdl.handle.net/11250/3084798","nob",,"92","Hvordan kommer matematisk modellering frem i et læreverk på 10.trinn sett opp mot LK20?","Master thesis"
"f70be63a-f5aa-4ba3-a953-f2e97c974019","11250/3011260","Didriksen, Simen Holt","2022","https://hdl.handle.net/11250/3016554","nob",,"88","Ungdomsskolelæreres refleksjoner om hvordan programmering kan bli brukt til å lære elever matematikk.","Master thesis"
"f802d5fa-6e08-4a4f-aa1e-c529593c94d1","11250/3011260","Eriksen, Susanne Elise Arnø","2022","https://hdl.handle.net/11250/3016567","nob",,"80","Hva har skjedd med nynorsken i lærebøkene? - En lærebokanalyse over utviklingen av nynorsk som sidemål i Kontekst 8-10 fra 2006 til 2020.","Master thesis"
"f844ca8c-da29-49d6-913a-d6b843cb3ec6","11250/3011260","Lunde, Ruben Sigurd","2023","https://hdl.handle.net/11250/3084313","nob",,"85","Frafall i læreryrket? - Spenninger og utfordringer knyttet til profesjonell identitet hos nyutdannede lærere","Master thesis"
"fc758532-6d75-4344-b19d-75ed914954c3","11250/3011260","Landsem, Linnea Kristine Andersson||Spigseth, Anna-Marie Sahlin","2022","https://hdl.handle.net/11250/3011801","nob",,"103","«Jeg kan fokusere mer alene, men det er også bra hvis man jobber med andre siden man kan føle seg tryggere»","Master thesis"
"ff2f6815-15a3-41d6-998d-4ada786e1850","11250/3011260","Ludvigsen, Hedda Louise Strand","2022","https://hdl.handle.net/11250/3011852","eng",,"82","The Legend of Zelda: Ocarina of Time and Vocabulary acquisition in a 9th grade Norwegian classroom.","Master thesis"
