id,collection,dc.contributor.author,dc.contributor.editor,dc.date.issued,dc.identifier.uri,dc.language.iso[en_US],dc.source.issue[en_US],dc.source.pagenumber[en_US],dc.title[en_US],dc.type[en_US]
"b7c6153f-066d-422a-a28d-1bdfaed1a416","11250/3011257","Gretland, Dani Mikael",,"2022","https://hdl.handle.net/11250/3011878","nob",,"71","Hvordan tilrettelegger lærere på mellomtrinnet for dybdelæring i matematikk?","Master thesis"
"bda54a58-fcc3-4410-b504-468b4bf25237","11250/3011257","Ødegård, Juliane",,"2023","https://hdl.handle.net/11250/3084317","nob",,"79","«At skolen og hjemmet spiller på samme lag er vi helt avhengig av»: En studie om bekymringsfullt fravær i barneskolen","Master thesis"
"bdb5b5f4-45a5-4c94-93d1-50615f45c6e0","11250/3011257","Johansen, Inger_Synnøve","Bernhardsen, Oda Mossik","2024","https://hdl.handle.net/11250/3153379","nob",,"86","«Lese med venner, ha en morsom bok og lese på et veldig fint sted» En studie av elevers opplevelse av lesekvart","Master thesis"
"c6719e1c-1667-487f-bf47-acb0daaff108","11250/3011257","Nordnes, Amalie||Andersen, Ida Norli",,"2024","https://hdl.handle.net/11250/3153387","nob",,"89","«Det er selve opplevelsen som på en måte blir belønningen» En kvalitativ studie om elevers utbytte av Bokslukerprisen","Master thesis"
"c86c166f-ebe9-4461-b8f3-485f3d64553e","11250/3011257","Halstensen, Amanda",,"2023","https://hdl.handle.net/11250/3085191","nob",,"72","Av og til begynner dagen uten noe å glede seg til» – En bildebokanalyse av tematikken i Dagen (2021)","Master thesis"
"cd2984a2-2ede-4fc3-83e6-5f72f6400073","11250/3011257","Lindvik, Charlotte",,"2022","https://hdl.handle.net/11250/3011902","nob",,"78","Læreres syn på læring og undervisning i matematikk, og deres beskrivelser i arbeid med å motivere elever i matematikk – en sammenheng?","Master thesis"
"cd2de726-516f-445f-8544-fc1b2af6bfa3","11250/3011257","Larsen, Sunniva Jørgensen",,"2023","https://hdl.handle.net/11250/3084766","nob",,"68","Naturen som læringsarena: Erfaringer som skaper muligheter","Master thesis"
"d176d1d4-f730-4850-b591-bae96b840548","11250/3011257","Moen, Therese Olaussen",,"2024","https://hdl.handle.net/11250/3155186","eng",,"94","Interculturality through picturebooks in the upper elementary classroom","Master thesis"
"e5c2d7cd-f0fb-4200-90bc-b1d71cfd6f69","11250/3011257","Hope, Yasmin Maria",,"2022","https://hdl.handle.net/11250/3011841","eng",,"68","Teacher pronunciation and pupil motivation in the English classroom A research study into if and how teacher pronunciation affects pupils’ motivation in five English classrooms in Norwegian schools.","Master thesis"
"e7b86bc9-d2a3-46de-bfdf-a4038202440b","11250/3011257","Skauen, Josefine April||Simonsen, Kine",,"2024","https://hdl.handle.net/11250/3155194","nob",,"87","«Jeg gjør det ikke alene!» En kvalitativ studie om lærers arbeid med tilpasset opplæring","Master thesis"
"eeaabfd7-bcde-4255-b3ee-8a4766d51d42","11250/3011257","Simensen, Pia Josefine Østli",,"2022","https://hdl.handle.net/11250/3016566","nob",,"77","Multimodale tekster på nettbrett og for hånd","Master thesis"
"feacfc7a-e6ab-44c4-9387-16cdc8f96193","11250/3011257","Hemstad, Helene Elisabeth||Sververmoen, Ida Marie",,"2024","https://hdl.handle.net/11250/3155200","nob",,"140","Et (klasse)rom – flere (mellom)rom - Et tankekors om rhizomatisk og posthumanistisk tenkning i klasserommet som det skapende rom -","Master thesis"
